model_year,KM,HP,Litros,Cilindros,price_eur
2014,114263,285.0,3.6,6.0,20020
2015,110361,270.0,3.5,6.0,23660
2018,112076,208.0,2.5,4.0,21835
2021,53913,260.0,2.4,4.0,30940
2018,120701,301.0,4.6,8.0,34666
2007,214526,153.0,2.3,4.0,2730
2007,193121,240.0,3.5,6.0,6142
2003,166931,115.0,1.6,4.0,5455
2006,254276,305.0,6.8,10.0,7735
2016,192317,184.0,2.5,4.0,13650
2007,85696,147.0,2.4,4.0,8418
2016,108291,241.0,2.0,4.0,18646
2017,101791,292.0,3.6,6.0,16972
2023,4076,301.0,4.6,8.0,59059
2007,11822,500.0,5.4,8.0,37309
2016,225630,303.0,3.7,6.0,9555
2020,79502,174.0,2.0,4.0,19019
2014,248236,265.0,3.5,6.0,11375
2021,67271,260.0,3.0,6.0,40859
2007,233355,242.0,3.3,6.0,3822
2016,98170,201.0,2.4,4.0,19110
2014,56327,302.0,3.5,6.0,27298
2021,35406,395.0,5.7,8.0,49868
2017,54959,380.0,3.0,6.0,41859
2018,119091,295.0,3.5,6.0,25434
2008,82077,480.0,3.6,6.0,63245
2016,179764,169.0,2.5,4.0,14105
2019,37385,424.0,3.0,6.0,40949
2023,24462,296.0,2.0,4.0,57329
2020,42326,381.0,5.7,8.0,42041
2020,76444,293.0,3.6,6.0,28210
2015,157716,315.0,3.0,6.0,20475
2019,64485,252.0,2.0,4.0,25025
2021,108930,120.0,1.6,4.0,14287
2015,157233,440.0,6.7,8.0,36354
2020,40255,405.0,3.0,6.0,50050
2016,104607,240.0,2.0,4.0,17745
2013,157716,248.0,3.5,6.0,14105
2018,137599,355.0,5.3,8.0,32668
2018,72828,247.0,2.0,4.0,22745
2022,28164,318.0,3.3,6.0,41860
2020,35727,287.0,3.6,6.0,33488
2015,110486,288.0,3.6,6.0,17244
2012,92114,285.0,3.6,6.0,20475
2015,117482,220.0,2.0,4.0,15652
2013,181856,265.0,2.5,4.0,14560
2015,24409,240.0,3.0,6.0,31850
2020,78235,420.0,6.2,8.0,55965
2022,42680,400.0,5.6,8.0,58240
2008,95365,255.0,3.0,6.0,16562
2001,103495,260.0,5.4,8.0,6825
2017,169142,300.0,3.0,6.0,21203
2012,128748,261.0,4.0,6.0,13468
2016,135862,360.0,6.0,8.0,33488
2011,149669,335.0,4.7,8.0,10829
2017,39075,228.0,2.0,4.0,26390
2010,289199,172.0,2.4,4.0,4095
2017,140818,200.0,2.0,4.0,18200
2022,22531,276.0,3.6,6.0,42679
2012,62311,333.0,3.0,6.0,28210
2012,267151,290.0,3.6,6.0,11830
2022,29284,400.0,3.0,6.0,56420
2014,144138,302.0,3.5,6.0,17285
2017,172811,300.0,3.0,6.0,15925
2007,100278,177.0,2.4,4.0,11739
2022,32589,375.0,2.9,6.0,62335
2008,239792,173.0,2.7,6.0,3504
2019,52304,385.0,3.0,6.0,39585
2022,40073,310.0,2.7,4.0,45409
2022,42648,440.0,3.5,6.0,59969
2006,197949,400.0,6.0,8.0,13650
2010,172200,210.0,3.7,6.0,5369
2016,125691,449.0,4.7,8.0,31395
2002,241402,175.0,3.9,6.0,5005
2017,88514,420.0,6.2,8.0,45409
2008,78858,420.0,4.2,8.0,57330
2005,233355,325.0,6.0,8.0,20475
2023,15128,180.0,1.6,4.0,28665
2017,41843,350.0,2.3,4.0,33670
2005,153161,280.0,3.2,6.0,22659
2023,2414,382.0,3.0,6.0,77259
2012,201168,211.0,2.0,4.0,9555
2019,78053,349.0,3.0,6.0,39585
2016,82646,416.0,4.0,8.0,66430
2015,87479,173.0,1.6,4.0,14788
2019,62603,308.0,3.6,6.0,31577
2022,50070,471.0,6.4,8.0,75530
2012,226113,324.0,6.0,8.0,10738
2012,245457,200.0,2.4,4.0,9919
2016,63891,268.0,3.5,6.0,23205
2018,135272,152.0,2.0,4.0,19564
2016,104285,560.0,4.0,8.0,45500
2020,55200,335.0,3.0,6.0,47775
2019,129069,385.0,6.2,8.0,38675
2017,95756,310.0,2.3,4.0,19110
2016,61316,365.0,3.5,6.0,19110
2006,205996,286.0,2.0,4.0,34579
2005,249448,220.0,3.5,5.0,7275
2015,173074,170.0,1.8,4.0,12012
2016,94951,240.0,2.0,4.0,22750
2008,61316,260.0,2.0,4.0,18154
2006,308994,278.0,4.3,8.0,6725
2014,130035,175.0,2.5,4.0,9100
2023,9334,228.0,2.4,4.0,27291
2013,28968,412.0,5.0,8.0,26390
2022,10300,241.0,2.0,4.0,37765
2014,165125,355.0,5.3,8.0,23205
2022,51365,475.0,6.4,8.0,58862
2012,212411,200.0,2.0,4.0,8190
2009,145432,118.0,1.6,4.0,8418
2014,88514,265.0,2.5,4.0,27300
2015,180247,310.0,3.5,6.0,26845
2021,53108,300.0,3.6,6.0,24569
2020,45044,228.0,2.0,4.0,26390
2003,53546,192.0,2.3,4.0,10829
2007,131001,166.0,2.0,4.0,10010
2022,40910,158.0,2.0,4.0,22295
2018,102998,450.0,6.7,8.0,58240
2007,59707,306.0,3.5,6.0,15379
2018,31060,425.0,3.0,6.0,58240
2003,228205,230.0,4.7,8.0,5187
2000,153210,120.0,2.5,4.0,10919
2020,22426,174.0,1.5,4.0,23660
2022,10686,455.0,6.2,8.0,47319
2018,115068,577.0,5.5,8.0,55510
2011,203904,312.0,3.6,6.0,12740
2009,90123,518.0,6.3,8.0,40814
2003,75435,142.0,1.8,4.0,10465
2019,112332,395.0,5.0,8.0,31486
2008,311864,258.0,3.2,6.0,9100
2014,189415,300.0,3.6,6.0,15447
2016,142588,208.0,2.0,4.0,15288
2021,51901,260.0,2.4,4.0,32760
2020,29290,228.0,2.0,4.0,26845
2019,83686,131.0,2.0,4.0,17745
2018,112010,362.0,3.0,6.0,37208
2010,111045,315.0,4.6,8.0,18200
2008,151528,275.0,4.6,8.0,9555
2019,17432,335.0,3.0,6.0,38675
2012,64309,400.0,4.4,8.0,35485
2013,82881,325.0,3.7,6.0,21749
2012,53108,291.0,2.0,4.0,31849
2007,184315,360.0,4.8,8.0,8190
2017,195576,400.0,5.6,8.0,25935
2022,16898,375.0,2.0,4.0,45499
2013,220466,198.0,2.4,4.0,10010
2018,64374,400.0,2.0,4.0,38220
2019,66305,380.0,3.0,6.0,55055
2003,231102,180.0,1.8,4.0,3821
2020,73732,291.0,3.8,6.0,34307
2008,217261,300.0,3.0,6.0,5186
2007,241402,403.0,6.2,8.0,9099
2000,64374,290.0,4.0,8.0,14014
2000,197861,181.0,4.0,6.0,12649
2011,294510,381.0,5.7,8.0,14560
2018,59546,471.0,5.0,8.0,58237
2008,191512,210.0,4.0,6.0,12285
2015,46188,404.0,3.0,6.0,22659
2015,185075,260.0,3.5,6.0,10915
2008,117482,268.0,3.5,6.0,7644
2020,91733,365.0,3.3,6.0,33215
2017,126334,445.0,4.4,8.0,38220
2013,59143,445.0,4.4,8.0,32759
2019,74030,305.0,3.6,6.0,34489
2017,41843,420.0,5.0,8.0,30576
2003,88594,400.0,6.75,8.0,31845
2022,9978,275.0,2.3,4.0,44590
2002,67592,290.0,4.3,8.0,14559
2016,93945,302.0,3.5,6.0,22749
2021,16737,490.0,6.2,8.0,66339
2005,147126,215.0,2.5,6.0,8099
2017,45704,469.0,4.0,8.0,50596
2015,199559,420.0,3.6,6.0,22750
2016,215652,240.0,2.0,4.0,12285
2014,148060,260.0,4.0,6.0,25025
2021,71411,310.0,3.6,6.0,32760
2002,144036,300.0,4.3,8.0,14559
2007,188293,306.0,3.5,6.0,9077
2017,80485,148.0,2.0,4.0,19560
2007,125851,510.0,5.5,12.0,20929
2010,261794,320.0,5.3,8.0,10920
2022,7387,188.0,2.0,4.0,58240
2020,57936,475.0,6.4,8.0,56420
2021,8111,295.0,3.5,6.0,44499
2016,174614,523.0,6.0,12.0,57785
2002,96971,333.0,3.2,6.0,26162
2021,18441,420.0,6.2,8.0,80899
2018,170066,375.0,3.5,6.0,31845
2013,168981,318.0,3.6,6.0,10920
2020,109435,450.0,3.5,6.0,50959
2000,43291,240.0,2.0,4.0,31850
2018,98170,335.0,3.0,6.0,30940
2022,14153,285.0,3.6,6.0,49140
2009,230693,152.0,2.0,4.0,2730
2015,38141,425.0,3.0,6.0,38948
2015,260714,440.0,6.7,8.0,29120
2007,12553,260.0,2.0,4.0,17290
2006,33796,505.0,7.0,8.0,43225
2014,179683,290.0,3.5,6.0,15925
2010,276846,210.0,3.7,6.0,6825
2014,205996,201.0,1.6,4.0,10010
2016,80467,340.0,3.0,6.0,32760
2013,140818,292.0,3.6,6.0,12512
2014,230539,300.0,3.0,6.0,11829
2012,139416,320.0,3.0,6.0,19105
2020,30899,355.0,5.3,8.0,63699
2018,32992,600.0,4.4,8.0,60970
2010,246764,378.0,4.6,8.0,9100
2021,37981,296.0,2.0,4.0,39129
2011,158775,360.0,5.7,8.0,13645
2008,281635,381.0,5.7,8.0,34489
2015,118287,241.0,2.0,4.0,17290
2006,153612,333.0,3.2,6.0,38220
2014,205901,138.0,1.6,4.0,6825
2011,131966,320.0,3.0,6.0,18200
2008,117482,210.0,3.3,6.0,10465
2017,81722,440.0,6.7,8.0,55510
2021,85567,420.0,6.2,8.0,74165
2012,247839,206.0,2.4,4.0,7735
2021,39484,147.0,2.0,4.0,19929
2008,123115,306.0,3.5,6.0,25480
2018,26200,365.0,2.5,4.0,77805
2020,62443,550.0,5.0,8.0,52325
2006,140818,300.0,5.4,8.0,11829
2004,74030,302.0,5.0,8.0,17156
2006,160291,168.0,1.6,4.0,5005
2009,275198,268.0,3.5,6.0,4322
2013,178637,375.0,5.0,8.0,13650
2009,118287,170.0,3.3,6.0,7151
2014,205191,429.0,4.7,8.0,26390
2015,82077,357.0,1.5,3.0,48230
2020,92215,395.0,5.7,8.0,39585
2008,205996,353.0,6.0,8.0,21385
2002,166567,190.0,4.0,6.0,11375
2022,25106,315.0,2.7,6.0,62785
2015,82720,467.0,5.0,8.0,39130
2019,57132,460.0,5.0,8.0,29393
2014,154880,420.0,4.0,8.0,20475
2016,57936,435.0,5.0,8.0,28210
2008,179120,268.0,3.5,6.0,7189
2019,46671,247.0,2.0,4.0,31395
2009,56327,360.0,4.8,8.0,16835
2007,32509,400.0,6.0,8.0,25025
2018,115340,240.0,2.0,4.0,18200
2005,284357,325.0,6.0,8.0,11830
2017,86905,160.0,1.5,4.0,14560
2008,196340,166.0,2.4,4.0,9555
2018,29773,526.0,5.2,8.0,70979
2010,140818,315.0,4.6,8.0,13559
2019,53108,450.0,6.7,8.0,53690
2016,131966,240.0,2.0,4.0,15465
2011,252667,270.0,4.0,6.0,21385
2020,65983,410.0,6.4,8.0,41419
2013,172200,140.0,1.8,4.0,12740
2011,239792,236.0,4.0,6.0,17285
2005,245055,305.0,5.6,8.0,6279
2014,251368,550.0,4.8,8.0,32760
2014,36532,350.0,3.4,6.0,77805
2013,49890,316.0,6.2,8.0,31850
2018,16639,280.0,3.6,6.0,33661
2011,167372,300.0,3.6,6.0,19019
2020,80305,518.0,5.0,8.0,58695
2011,291291,211.0,2.0,4.0,5005
2004,225308,225.0,3.0,6.0,6124
2018,113909,308.0,3.5,6.0,32487
2017,233355,284.0,3.5,6.0,7735
2020,71777,182.0,2.5,4.0,25753
2022,11265,437.0,3.4,6.0,68705
2022,30899,420.0,6.2,8.0,63509
2021,77731,383.0,5.7,8.0,74620
2014,188293,290.0,3.5,6.0,9919
2023,16737,291.0,3.8,6.0,43680
2006,179004,195.0,4.3,6.0,3640
2013,180247,340.0,3.0,6.0,8008
2020,74834,203.0,2.5,4.0,32032
2008,102596,393.0,6.2,8.0,50050
2018,80467,280.0,2.0,4.0,25025
2021,53237,325.0,2.7,6.0,43544
2017,149231,355.0,5.3,8.0,31759
2018,83444,400.0,3.0,6.0,26299
2015,2414,188.0,3.0,6.0,35945
2020,35406,463.0,4.0,8.0,63245
2007,305594,204.0,2.5,6.0,3635
2015,117482,345.0,3.0,6.0,16379
2011,66488,382.0,5.5,8.0,28209
2006,244620,263.0,4.7,8.0,12735
2009,299278,168.0,2.4,4.0,4641
2020,40407,523.0,4.4,8.0,60060
2009,223699,300.0,5.3,8.0,13195
2019,46277,385.0,3.0,6.0,55828
2023,10337,291.0,3.8,6.0,38675
2015,138404,540.0,4.4,8.0,26390
2018,93503,518.0,5.0,8.0,48684
2018,28968,454.0,4.7,8.0,60970
2003,183465,345.0,5.7,8.0,9737
2019,70570,290.0,3.3,6.0,27300
2021,143232,270.0,2.3,4.0,30940
2022,51258,389.0,3.0,6.0,55055
2017,91485,335.0,2.7,6.0,26390
2005,151439,255.0,3.6,6.0,5550
2019,170055,355.0,5.3,8.0,35490
2015,209215,429.0,4.7,8.0,22295
2010,116677,122.0,1.8,4.0,6142
2001,178637,200.0,3.8,6.0,10010
2009,60350,332.0,3.7,6.0,19565
2005,191512,250.0,3.5,6.0,3185
2022,49190,192.0,2.0,4.0,26390
2015,148737,440.0,6.7,8.0,47229
2018,68848,455.0,6.2,8.0,37401
2010,251058,265.0,3.5,6.0,5369
2006,273588,278.0,4.3,8.0,6825
2023,8690,375.0,3.5,6.0,54600
2011,302368,201.0,2.4,4.0,5005
2016,72908,348.0,3.8,6.0,19109
2016,131001,295.0,3.5,6.0,23660
2016,108629,285.0,3.6,6.0,25025
2019,131966,280.0,3.5,6.0,29549
2012,127138,402.0,4.6,8.0,18199
2019,42648,505.0,2.9,6.0,49049
2004,122572,325.0,6.0,8.0,18655
2020,48280,280.0,2.0,4.0,26299
2013,107826,261.0,4.0,6.0,14105
2022,17703,184.0,2.0,4.0,25389
2023,5472,275.0,2.3,4.0,51870
2010,182661,272.0,3.5,6.0,10010
2022,69202,228.0,2.0,4.0,32532
2021,109435,248.0,2.0,4.0,33214
2013,171717,332.0,3.7,6.0,15925
2017,113942,520.0,4.8,8.0,48229
2017,187167,301.0,4.6,8.0,29074
2009,120057,400.0,4.4,8.0,13650
2007,157272,350.0,6.7,6.0,18198
2013,101665,202.0,2.5,4.0,11825
2010,138598,268.0,3.5,6.0,12376
2019,33796,335.0,3.0,6.0,38220
2017,108602,188.0,2.0,4.0,10464
2016,160130,355.0,5.3,8.0,25475
2009,221446,172.0,1.6,4.0,6261
2001,102998,310.0,5.7,8.0,19110
2017,26876,131.0,2.0,4.0,24115
2018,27359,285.0,3.6,6.0,35035
2014,31704,189.0,2.0,4.0,12285
2010,109114,268.0,3.5,6.0,12739
2016,191512,281.0,3.6,6.0,11375
2016,109435,310.0,3.6,6.0,29984
2018,119705,248.0,2.0,4.0,20925
2023,9656,310.0,3.6,6.0,44135
2015,158335,166.0,2.4,4.0,9555
2011,119896,412.0,5.0,8.0,20020
2017,47830,311.0,3.8,6.0,26845
2014,299338,302.0,3.5,6.0,9100
2005,138404,282.0,4.7,8.0,20475
2017,31624,400.0,3.5,6.0,63018
2008,304971,162.0,2.4,4.0,5460
2014,114263,240.0,2.0,4.0,15197
2006,306831,273.0,4.7,8.0,8099
2018,110119,279.0,3.5,6.0,21385
2005,167372,355.0,3.8,6.0,40768
2007,6515,400.0,6.0,8.0,34580
2023,3541,325.0,2.0,4.0,68250
2018,98170,471.0,5.0,8.0,59150
2020,107942,375.0,3.5,6.0,35035
2016,113591,300.0,3.0,6.0,31850
2011,221257,188.0,1.6,4.0,2912
2013,191512,403.0,6.2,8.0,18655
2018,63247,320.0,3.0,6.0,28892
2014,67592,451.0,6.2,8.0,40950
2010,249448,273.0,3.7,6.0,7553
2019,79663,185.0,2.4,4.0,25480
2005,74352,325.0,3.6,6.0,45499
2016,65983,285.0,3.6,6.0,22750
2016,74352,340.0,3.0,6.0,37765
2017,37258,416.0,4.0,8.0,76895
2007,72420,172.0,1.6,4.0,7189
2013,104607,159.0,2.7,4.0,18655
2000,214864,120.0,2.2,4.0,4095
2013,89640,385.0,5.0,8.0,24752
2004,127943,180.0,1.8,4.0,10920
2022,24140,335.0,3.0,6.0,57330
2011,177028,400.0,4.4,8.0,10920
2013,208986,200.0,2.0,4.0,12276
2014,83686,275.0,2.7,6.0,33670
2019,82077,295.0,3.5,6.0,26390
2010,159325,170.0,2.5,5.0,5460
2009,162109,173.0,2.7,6.0,6347
2013,102998,400.0,3.8,6.0,60970
2014,144822,411.0,6.2,8.0,38675
2017,136450,285.0,3.6,6.0,21385
2008,213238,325.0,3.6,6.0,31850
2019,30573,189.0,2.0,4.0,24342
2022,6759,315.0,2.7,6.0,60055
2021,109114,400.0,5.6,8.0,33215
2013,160168,386.0,4.6,8.0,22659
2015,247517,355.0,5.3,8.0,20930
2010,195133,204.0,2.5,6.0,12058
2019,94951,304.0,3.6,6.0,19110
2013,88514,260.0,2.0,4.0,16380
2023,357,310.0,3.6,6.0,62790
2016,127943,240.0,2.0,4.0,17290
2010,198754,147.0,2.4,4.0,8645
2016,88916,425.0,3.0,6.0,45499
2013,116677,429.0,4.6,8.0,28620
2015,173809,310.0,3.0,6.0,18198
2018,92537,424.0,3.0,6.0,38129
2003,128878,302.0,5.0,8.0,11375
2016,40234,335.0,3.6,6.0,16379
2002,190707,285.0,5.3,8.0,5369
2006,177028,275.0,4.6,8.0,4550
2019,76481,248.0,2.0,4.0,28210
2016,224021,161.0,2.1,4.0,20020
2020,47798,395.0,3.0,6.0,61880
2020,91733,375.0,3.5,6.0,34125
2021,28501,301.0,4.6,8.0,53690
2018,116505,325.0,2.7,6.0,31850
2010,14402,426.0,6.2,8.0,27300
2020,83686,395.0,3.0,6.0,50050
2012,208177,106.0,1.5,4.0,7234
2021,16013,365.0,3.3,6.0,49094
2015,230136,275.0,3.7,6.0,20475
2013,140015,200.0,2.5,4.0,16375
2021,31527,315.0,2.7,6.0,50049
2019,48763,188.0,2.0,4.0,27755
2014,201168,510.0,5.0,8.0,20475
2011,106217,265.0,2.9,6.0,25480
2015,88031,220.0,2.0,4.0,19105
2018,113386,300.0,3.6,6.0,41728
2019,96561,335.0,3.0,6.0,33215
2007,219515,260.0,3.8,6.0,6142
2004,60547,350.0,5.7,8.0,23205
2015,117482,240.0,3.0,6.0,30940
2003,42149,302.0,5.0,8.0,20020
2018,32509,355.0,5.3,8.0,39084
2016,94951,240.0,2.0,4.0,19109
2018,80467,383.0,5.7,8.0,59150
2007,9424,295.0,3.4,6.0,40950
2020,37260,292.0,3.6,6.0,25708
2012,105814,261.0,4.0,6.0,14555
2000,212755,400.0,5.0,8.0,24479
2003,165762,210.0,3.7,6.0,4732
2013,182492,403.0,6.2,8.0,17108
2014,120818,302.0,3.5,6.0,19565
2019,57238,265.0,2.0,4.0,23660
2013,159647,302.0,3.5,6.0,10460
2012,148188,240.0,2.0,4.0,13195
2013,217261,445.0,4.4,8.0,12740
2023,16061,355.0,5.3,8.0,74620
2001,114984,200.0,3.8,6.0,9555
2019,67588,227.0,2.5,4.0,22745
2019,86905,219.0,2.5,4.0,30030
2018,58953,518.0,5.0,8.0,66036
2008,231746,323.0,6.0,8.0,20020
2013,140119,310.0,3.0,6.0,19109
2022,20921,335.0,3.0,6.0,62790
2016,144036,410.0,6.4,8.0,31850
2019,91733,285.0,3.6,6.0,36309
2017,60994,208.0,2.0,4.0,20020
2012,106217,181.0,1.6,4.0,10009
2014,129683,402.0,4.7,8.0,23660
2017,32464,285.0,3.6,6.0,43225
2012,164153,240.0,3.2,6.0,9828
2012,68009,290.0,3.5,6.0,15470
2001,104247,200.0,3.8,6.0,6825
2020,45062,425.0,3.0,6.0,54509
2017,126683,180.0,2.4,4.0,15925
2016,134219,235.0,2.0,4.0,20470
2017,163831,510.0,5.0,8.0,33215
2016,145145,241.0,2.0,4.0,16375
2012,98894,333.0,3.0,6.0,17745
2016,295385,355.0,5.3,8.0,20020
2023,13552,395.0,3.0,6.0,81900
2016,138729,240.0,2.0,4.0,17062
2006,125608,300.0,4.2,8.0,12722
2018,162331,200.0,2.5,4.0,21294
2009,41038,385.0,3.8,6.0,72795
2014,83782,348.0,3.8,6.0,13650
2018,65903,340.0,3.0,6.0,36172
2014,68236,240.0,3.0,6.0,24115
2002,143232,200.0,3.8,6.0,9464
2015,259104,200.0,2.5,4.0,10465
2023,4812,400.0,6.7,6.0,63609
2009,260714,262.0,3.5,6.0,6825
2017,79984,228.0,2.0,4.0,23660
2017,102193,420.0,5.0,8.0,25025
2011,168981,375.0,5.0,8.0,9100
2011,64374,510.0,5.0,8.0,18200
2011,189903,360.0,5.7,8.0,11375
2022,16898,400.0,3.0,6.0,45500
2019,156106,370.0,6.7,6.0,40950
2016,115873,429.0,5.0,8.0,19474
2012,86905,330.0,3.4,6.0,68250
2015,188763,240.0,2.0,4.0,10920
2018,101646,463.0,4.0,8.0,42770
2015,138030,109.0,1.6,4.0,7508
2011,212433,305.0,3.7,6.0,10009
2006,271979,360.0,6.6,8.0,17745
2011,218232,136.0,1.8,4.0,6370
2011,88514,202.0,3.8,6.0,31850
2018,109218,410.0,6.4,8.0,33215
2007,116140,552.0,6.0,12.0,32755
2018,82077,381.0,5.7,8.0,34580
2013,96561,344.0,3.8,6.0,15015
2010,232067,210.0,4.0,6.0,9099
2001,175993,310.0,6.8,10.0,11602
2008,24172,173.0,2.4,4.0,16835
2021,37659,420.0,6.2,8.0,47320
2022,10622,430.0,7.3,8.0,66339
2020,27359,300.0,2.3,4.0,19110
2018,51917,201.0,2.4,4.0,19109
2018,25750,260.0,3.5,6.0,27755
2009,170590,280.0,2.8,6.0,11784
2009,125408,268.0,3.5,6.0,15015
2018,19908,189.0,2.0,4.0,26299
2007,45889,400.0,6.0,8.0,29120
2014,135990,410.0,6.4,8.0,30940
2013,253319,248.0,3.5,6.0,9782
2019,12199,456.0,4.4,8.0,46865
2012,158359,333.0,3.0,6.0,16380
2016,136794,355.0,5.3,8.0,29802
2013,60350,333.0,3.0,6.0,23660
2017,135185,292.0,2.0,4.0,28210
2020,108470,381.0,5.7,8.0,43225
2008,102187,330.0,3.7,6.0,13650
2014,160128,210.0,2.0,4.0,13650
2016,102998,510.0,5.0,8.0,33665
2022,3235,490.0,6.2,8.0,80990
2008,266379,270.0,3.5,6.0,8190
2014,144036,310.0,3.0,6.0,16380
2019,53913,385.0,3.0,6.0,41651
2014,59642,420.0,5.0,8.0,25935
2011,214854,412.0,5.0,8.0,21385
2021,52202,315.0,2.7,6.0,46410
2007,273588,244.0,3.5,6.0,7007
2001,145485,140.0,2.4,4.0,4090
2010,104607,210.0,2.0,4.0,8099
2023,314,310.0,3.5,6.0,79625
2011,168981,414.0,4.0,8.0,19929
2016,74194,429.0,4.7,8.0,32123
2014,134082,208.0,2.0,4.0,13650
2021,24140,355.0,3.0,6.0,62790
2010,25106,485.0,3.8,6.0,63245
2019,85992,355.0,5.3,8.0,33624
2022,13518,285.0,3.6,6.0,42770
2010,112654,425.0,6.1,8.0,20020
2019,72099,420.0,6.2,8.0,47775
2019,68764,450.0,3.5,6.0,41814
2016,180247,304.0,3.6,6.0,13285
2001,77063,300.0,3.4,6.0,29115
2019,11319,460.0,6.2,8.0,58149
2021,56274,382.0,3.0,6.0,45499
2010,165249,158.0,2.0,4.0,5460
2019,34440,280.0,2.0,4.0,25935
2013,83757,400.0,3.8,6.0,69615
2023,4987,389.0,3.0,6.0,68245
